#,id,leetcode_url,date,title,difficulty,tags
19,23,https://leetcode.com/problems/merge-k-sorted-lists/,2021-08-06,Merge k Sorted Lists,Hard,Linked List;Divide and Conquer;Heap (Priority Queue);Merge Sort
20,387,https://leetcode.com/problems/first-unique-character-in-a-string/,2021-08-07,First Unique Character in a String,Easy,Hash Table;String;Queue;Counting
21,341,https://leetcode.com/problems/flatten-nested-list-iterator/,2021-08-08,Flatten Nested List Iterator,Medium,Stack;Tree;Depth-First Search;Design;Queue;Iterator
22,148,https://leetcode.com/problems/sort-list/,2021-08-09,Sort List,Medium,Linked List;Two Pointers;Divide and Conquer;Sorting;Merge Sort
23,98,https://leetcode.com/problems/validate-binary-search-tree/,2021-08-10,Validate Binary Search Tree,Medium,Tree;Depth-First Search;Binary Search Tree;Binary Tree
24,101,https://leetcode.com/problems/symmetric-tree/,2021-08-11,Symmetric Tree,Easy,Tree;Depth-First Search;Breadth-First Search;Binary Tree
25,49,https://leetcode.com/problems/group-anagrams/,2021-08-12,Group Anagrams,Medium,Hash Table;String;Sorting
26,141,https://leetcode.com/problems/linked-list-cycle/,2021-08-13,Linked List Cycle,Easy,Hash Table;Linked List;Two Pointers
27,22,https://leetcode.com/problems/generate-parentheses/,2021-08-14,Generate Parentheses,Medium,String;Dynamic Programming;Backtracking
28,26,https://leetcode.com/problems/remove-duplicates-from-sorted-array/,2021-08-15,Remove Duplicates from Sorted Array,Easy,Array;Two Pointers
29,94,https://leetcode.com/problems/binary-tree-inorder-traversal/,2021-08-16,Binary Tree Inorder Traversal,Easy,Stack;Tree;Depth-First Search;Binary Tree
30,326,https://leetcode.com/problems/power-of-three/,2021-08-17,Power of Three,Easy,Math;Recursion
31,136,https://leetcode.com/problems/single-number/,2021-08-18,Single Number,Easy,Array;Bit Manipulation
32,268,https://leetcode.com/problems/missing-number/,2021-08-19,Missing Number,Easy,Array;Hash Table;Math;Bit Manipulation;Sorting
33,287,https://leetcode.com/problems/find-the-duplicate-number/,2021-08-20,Find the Duplicate Number,Medium,Array;Two Pointers;Binary Search;Bit Manipulation
34,215,https://leetcode.com/problems/kth-largest-element-in-an-array/,2021-08-21,Kth Largest Element in an Array,Medium,Array;Divide and Conquer;Sorting;Heap (Priority Queue);Quickselect
35,1039,https://leetcode.com/problems/find-the-town-judge/,2021-08-22,Find the Town Judge,Easy,Array;Hash Table;Graph
36,121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,2021-08-23,Best Time to Buy and Sell Stock,Easy,Array;Dynamic Programming
37,122,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii/,2021-08-24,Best Time to Buy and Sell Stock II,Easy,Array;Dynamic Programming;Greedy
38,123,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii/,2021-08-25,Best Time to Buy and Sell Stock III,Hard,Array;Dynamic Programming
39,70,https://leetcode.com/problems/climbing-stairs/,2021-08-26,Climbing Stairs,Easy,Math;Dynamic Programming;Memoization
40,747,https://leetcode.com/problems/min-cost-climbing-stairs/,2021-08-27,Min Cost Climbing Stairs,Easy,Array;Dynamic Programming
41,55,https://leetcode.com/problems/jump-game/,2021-08-28,Jump Game,Medium,Array;Dynamic Programming;Greedy
42,,,2021-08-29,Binary Heap,,
43,118,https://leetcode.com/problems/pascals-triangle/,2021-08-30,Pascal's Triangle,Easy,Array;Dynamic Programming
44,119,https://leetcode.com/problems/pascals-triangle-ii/,2021-08-31,Pascal's Triangle II,Easy,Array;Dynamic Programming
45,1086,https://leetcode.com/problems/divisor-game/,2021-09-01,Divisor Game,Easy,Math;Dynamic Programming;Brainteaser;Game Theory
46,242,https://leetcode.com/problems/valid-anagram/,2021-09-02,Valid Anagram,Easy,Hash Table;String;Sorting
47,160,https://leetcode.com/problems/intersection-of-two-linked-lists/,2021-09-03,Intersection of Two Linked Lists,Easy,Hash Table;Linked List;Two Pointers
48,205,https://leetcode.com/problems/isomorphic-strings/,2021-09-04,Isomorphic Strings,Easy,Hash Table;String
49,290,https://leetcode.com/problems/word-pattern/,2021-09-05,Word Pattern,Easy,Hash Table;String
50,169,https://leetcode.com/problems/majority-element/,2021-09-06,Majority Element,Easy,Array;Hash Table;Divide and Conquer;Sorting;Counting
51,350,https://leetcode.com/problems/intersection-of-two-arrays-ii/,2021-09-07,Intersection of Two Arrays II,Easy,Array;Hash Table;Two Pointers;Binary Search;Sorting
52,105,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal/,2021-09-08,Construct Binary Tree from Preorder and Inorder Traversal,Medium,Array;Hash Table;Divide and Conquer;Tree;Binary Tree
53,66,https://leetcode.com/problems/plus-one/,2021-09-09,Plus One,Easy,Array;Math
54,155,https://leetcode.com/problems/min-stack/,2021-09-10,Min Stack,Easy,Stack;Design
55,150,https://leetcode.com/problems/evaluate-reverse-polish-notation/,2021-09-11,Evaluate Reverse Polish Notation,Medium,Array;Math;Stack
56,227,https://leetcode.com/problems/basic-calculator-ii/,2021-09-12,Basic Calculator II,Medium,Math;String;Stack
57,1802,https://leetcode.com/problems/number-of-students-unable-to-eat-lunch/,2021-09-13,Number of Students Unable to Eat Lunch,Easy,Array;Stack;Queue;Simulation
58,234,https://leetcode.com/problems/palindrome-linked-list/,2021-09-14,Palindrome Linked List,Easy,Linked List;Two Pointers;Stack;Recursion
59,71,https://leetcode.com/problems/simplify-path/,2021-09-15,Simplify Path,Medium,String;Stack
60,28,https://leetcode.com/problems/implement-strstr/,2021-09-16,Implement strStr(),Easy,Two Pointers;String;String Matching
61,168,https://leetcode.com/problems/excel-sheet-column-title/,2021-09-17,Excel Sheet Column Title,Easy,Math;String
62,933,https://leetcode.com/problems/number-of-recent-calls/,2021-09-18,Number of Recent Calls,Easy,Design; Queue; Data Stream
63,860,https://leetcode.com/problems/design-circular-queue/,2021-09-19,Design Circular Queue,Medium,Array;Linked List;Design;Queue
64,239,https://leetcode.com/problems/sliding-window-maximum/,2021-09-20,Sliding Window Maximum,Hard,Array;Queue;Sliding Window;Heap (Priority Queue);Monotonic Queue
65,338,https://leetcode.com/problems/counting-bits/,2021-09-22,Counting Bits,Easy,Dynamic Programming;Bit Manipulation
66,392,https://leetcode.com/problems/is-subsequence/,2021-09-23,Is Subsequence,Easy,Two Pointers;String;Dynamic Programming
67,1769,https://leetcode.com/problems/get-maximum-in-generated-array/,2021-09-24,Get Maximum in Generated Array,Easy,Array;Dynamic Programming;Simulation
68,62,https://leetcode.com/problems/unique-paths/,2021-09-25,Unique Paths,Medium,Math;Dynamic Programming;Combinatorics
69,120,https://leetcode.com/problems/triangle/,2021-09-26,Triangle,Medium,Array;Dynamic Programming
70,53,https://leetcode.com/problems/maximum-subarray/,2021-09-27,Maximum Subarray,Easy,Array;Divide and Conquer;Dynamic Programming
71,561,https://leetcode.com/problems/array-partition-i/,2021-09-28,Array Partition I,Easy,Array;Greedy;Sorting;Counting Sort
72,46,https://leetcode.com/problems/permutations/,2021-09-29,Permutations,Medium,Array;Backtracking
73,800,https://leetcode.com/problems/letter-case-permutation/,2021-09-30,Letter Case Permutation,Medium,String;Backtracking;Bit Manipulation
74,813,https://leetcode.com/problems/all-paths-from-source-to-target/,2021-10-01,All Paths From Source to Target,Medium,Backtracking;Depth-First Search;Breadth-First Search;Graph
75,1160,https://leetcode.com/problems/letter-tile-possibilities/,2021-10-02,Letter Tile Possibilities,Medium,String;Backtracking
76,1211,https://leetcode.com/problems/iterator-for-combination/,2021-10-03,Iterator for Combination,Medium,String;Backtracking;Design;Iterator
77,1516,https://leetcode.com/problems/the-k-th-lexicographical-string-of-all-happy-strings-of-length-n/,2021-10-04,The k-th Lexicographical String of All Happy Strings of Length n,Medium,String;Backtracking
78,455,https://leetcode.com/problems/assign-cookies/,2021-10-05,Assign Cookies,Easy,Array;Greedy;Sorting
79,605,https://leetcode.com/problems/can-place-flowers/,2021-10-06,Can Place Flowers,Easy,Array;Greedy
80,409,https://leetcode.com/problems/longest-palindrome/,2021-10-07,Longest Palindrome,Easy,Hash Table;String;Greedy
81,1341,https://leetcode.com/problems/split-a-string-in-balanced-strings/,2021-10-08,Split a String in Balanced Strings,Easy,String;Greedy;Counting
82,11,https://leetcode.com/problems/container-with-most-water/,2021-10-09,Container With Most Water,Medium,Array;Two Pointers;Greedy
83,179,https://leetcode.com/problems/largest-number/,2021-10-10,Largest Number,Medium,String;Greedy;Sorting
84,1062,https://leetcode.com/problems/partition-array-into-three-parts-with-equal-sum/,2021-10-12,Partition Array Into Three Parts With Equal Sum,Easy,Array;Greedy
85,404,https://leetcode.com/problems/sum-of-left-leaves/,2021-10-13,Sum of Left Leaves,Easy,Tree;Depth-First Search;Breadth-First Search;Binary Tree
86,257,https://leetcode.com/problems/binary-tree-paths/,2021-10-14,Binary Tree Paths,Easy,String;Tree;Depth-First Search;Binary Tree
87,904,https://leetcode.com/problems/leaf-similar-trees/,2021-10-16,Leaf-Similar Trees,Easy,Tree;Depth-First Search;Binary Tree
88,563,https://leetcode.com/problems/binary-tree-tilt/,2021-10-18,Binary Tree Tilt,Easy,Tree;Depth-First Search;Binary Tree
89,1005,https://leetcode.com/problems/univalued-binary-tree/,2021-10-19,Univalued Binary Tree,Easy,Tree;Depth-First Search;Breadth-First Search;Binary Tree
90,783,https://leetcode.com/problems/search-in-a-binary-search-tree/,2021-10-20,Search in a Binary Search Tree,Easy,Tree;Binary Search Tree;Binary Tree
91,775,https://leetcode.com/problems/n-ary-tree-preorder-traversal/,2021-10-23,N-ary Tree Preorder Traversal,Easy,Stack;Tree;Depth-First Search
92,799,https://leetcode.com/problems/minimum-distance-between-bst-nodes/,2021-10-25,Minimum Distance Between BST Nodes,Easy,Tree;Depth-First Search;Breadth-First Search;Binary Search Tree;Binary Tree
93,933,https://leetcode.com/problems/increasing-order-search-tree/,2021-10-26,Increasing Order Search Tree,Easy,Stack;Tree;Depth-First Search;Binary Search Tree;Binary Tree
94,1916,https://leetcode.com/problems/find-center-of-star-graph/,2021-10-28,Find Center of Star Graph,Easy,Graph
95,2121,https://leetcode.com/problems/find-if-path-exists-in-graph/,2021-10-29,Find if Path Exists in Graph,Easy,Depth-First Search;Breadth-First Search;Graph
96,389,https://leetcode.com/problems/find-the-difference/,2021-11-01,Find the Difference,Easy,Hash Table;String;Bit Manipulation;Sorting
97,383,https://leetcode.com/problems/ransom-note/,2021-11-02,Ransom Note,Easy,Hash Table;String;Counting
